"","LC","YEAR","BIOME","T_MAPCODE","km2"
"322","nat",1750,"Savanna","SVcb20",10110.8896
"323","nat",1750,"Savanna","SVcb21",4147.7392
"324","nat",1750,"Savanna","SVcb22",0.602
"325","nat",1750,"Savanna","SVcb23",4445.3284
"326","nat",1750,"Savanna","SVcb24",666.91
"327","nat",1750,"Savanna","SVcb25",891.324
"328","nat",1750,"Savanna","SVcb26",2000.0168
"329","nat",1750,"Savanna","SVcb27",2522.834
"330","nat",1750,"Savanna","SVcb28",2316.1448
"331","nat",1750,"Savanna","SVcb29",388.1768
"332","nat",1750,"Savanna","SVcb3",1331.3268
"333","nat",1750,"Savanna","SVcb4",4119.6272
"334","nat",1750,"Savanna","SVcb5",367.1036
"335","nat",1750,"Savanna","SVcb6",2285.098
"336","nat",1750,"Savanna","SVcb7",491.3284
"337","nat",1750,"Savanna","SVcb8",1833.3936
"338","nat",1750,"Savanna","SVcb9",3103.5984
"339","nat",1750,"Savanna","SVk1",15427.0416
"340","nat",1750,"Savanna","SVk10",5838.9756
"341","nat",1750,"Savanna","SVk11",13886.1856
"342","nat",1750,"Savanna","SVk12",7452.5748
"343","nat",1750,"Savanna","SVk13",8517.6948
"344","nat",1750,"Savanna","SVk14",929.224
"345","nat",1750,"Savanna","SVk15",1620.8448
"346","nat",1750,"Savanna","SVk16",7918.5928
"347","nat",1750,"Savanna","SVk17",7197.9932
"348","nat",1750,"Savanna","SVk18",999.6036
"349","nat",1750,"Savanna","SVk2",4206.5528
"350","nat",1750,"Savanna","SVk3",1366.9324
"351","nat",1750,"Savanna","SVk4",16649.7672
"352","nat",1750,"Savanna","SVk5",1457.8836
"353","nat",1750,"Savanna","SVk6",5313.8536
"354","nat",1750,"Savanna","SVk7",13360.5836
"355","nat",1750,"Savanna","SVk8",3363.508
"356","nat",1750,"Savanna","SVk9",5779.5996
"357","nat",1750,"Savanna","SVkd1",37063.7256
"358","nat",1750,"Savanna","SVkd2",2242.3668
"359","nat",1750,"Savanna","SVkd3",2898.1244
"360","nat",1750,"Savanna","SVkd4",762.4428
"361","nat",1750,"Savanna","SVl1",2090.6908
"362","nat",1750,"Savanna","SVl10",942.7836
"363","nat",1750,"Savanna","SVl11",630.6152
"364","nat",1750,"Savanna","SVl12",468.3948
"365","nat",1750,"Savanna","SVl13",109.4832
"366","nat",1750,"Savanna","SVl14",4460.3124
"367","nat",1750,"Savanna","SVl15",1335.0152
"368","nat",1750,"Savanna","SVl16",2583.6644
"369","nat",1750,"Savanna","SVl17",134.5176
"370","nat",1750,"Savanna","SVl18",1124.2472
"371","nat",1750,"Savanna","SVl19",152.9456
"372","nat",1750,"Savanna","SVl2",181.636
"373","nat",1750,"Savanna","SVl20",1645.0052
"374","nat",1750,"Savanna","SVl21",335.058
"375","nat",1750,"Savanna","SVl22",5173.6088
"376","nat",1750,"Savanna","SVl23",8564.76
"377","nat",1750,"Savanna","SVl24",694.624
"378","nat",1750,"Savanna","SVl25",660.6068
