"","T_MAPCODE","A3_fin","A3_source","A3_prclost","A2b_fin","A2b_source","A2b_prclost50"
"303","NKl2","LC","A3_nat",2,"LC","A2b",1
"304","NKl4","LC","A3_nat",8,"LC","A2b",4
"305","NKu1","LC","A3_nat",1,"LC","A2b",1
"306","NKu2","LC","A3_nat",0,"LC","A2b",0
"307","NKu3","LC","A3_nat",5,"LC","A2b",2
"308","NKu4","LC","A3_nat",4,"LC","A2b",1
"309","SKk1","LC","A3_nat",0,"LC","A2b",0
"310","SKk2","LC","A3_nat, A3_wc",1,"LC","A2b",0
"311","SKk3","LC","A3_nat, A3_wc",3,"LC","A2b",1
"312","SKk4","LC","A3_nat",0,"LC","A2b",0
"313","SKk5","LC","A3_nat, A3_wc",15,"LC","A2b",5
"314","SKk6","LC","A3_nat, A3_wc",6,"LC","A2b",3
"315","SKk7","LC","A3_nat, A3_wc",28,"LC","A2b",14
"316","SKk8","EN","A3_nat, A3_wc",76,"VU","A2b",43
"317","SKk9","LC","A3_nat",2,"LC","A2b",2
"318","SKn1","LC","A3_nat",3,"LC","A2b",1
"319","SKn2","LC","A3_nat",1,"LC","A2b",0
"320","SKn3","LC","A3_nat",7,"LC","A2b",1
"321","SKn4","LC","A3_nat",9,"LC","A2b",2
"322","SKn5","LC","A3_nat",0,"LC","A2b",1
"323","SKn6","LC","A3_nat",1,"LC","A2b",0
"324","SKn7","LC","A3_nat, A3_wc",8,"LC","A2b",2
"325","SKr1","LC","A3_nat",0,"LC","A2b",0
"326","SKr10","LC","A3_nat",0,"LC","A2b",0
"327","SKr11","LC","A3_nat",1,"LC","A2b",1
"328","SKr12","LC","A3_nat",0,"LC","A2b",0
"329","SKr13","LC","A3_nat",0,"LC","A2b",0
"330","SKr14","LC","A3_nat",0,"LC","A2b",0
"331","SKr15","LC","A3_nat",17,"LC","A2b",2
"332","SKr16","LC","A3_nat",0,"LC","A2b",0
"333","SKr17","LC","A3_nat",0,"LC","A2b",0
"334","SKr18","LC","A3_nat",1,"LC","A2b",1
"335","SKr19","LC","A3_nat",1,"LC","A2b",1
"336","SKr2","LC","A3_nat",0,"LC","A2b",0
