"","T_MAPCODE","T_BIOME","T_Name","RLE_EPL","RLE","Criteria_triggered","EPL"
"264","CB4","Indian Ocean Coastal Belt","Pondoland-Ugu Sandstone Coastal Sourveld","VU_PP","VU","A3_nat","PP"
"265","CB5","Indian Ocean Coastal Belt","Transkei Coastal Belt","EN_PP","EN","B1i_rod","PP"
"266","NKl4","Nama-Karoo","Albany Broken Veld","LC_MP","LC","","MP"
"267","SVs7","Savanna","Bhisho Thornveld","LC_NP","LC","","NP"
"268","SVs4","Savanna","Ngongoni Veld","EN_NP","EN","B1i_rod","NP"
"269","SVs5","Savanna","KwaZulu-Natal Sandstone Sourveld","EN_NP","EN","A3_nat, A3_kzn, A2b, B1i_rod","NP"
"270","SVs8","Savanna","South Eastern Coastal Thornveld","EN_PP","EN","B1i_rod","PP"
"271","AZd1","Azonal Vegetation","Namib Seashore Vegetation","CR_NP","CR","A3_nat, B1i_rod, B2i_rod","NP"
"272","AZa3","Azonal Vegetation","Lower Gariep Alluvial Vegetation","LC_PP","LC","","PP"
"273","AZi3","Azonal Vegetation","Southern Kalahari Mekgacha","LC_MP","LC","","MP"
"274","Dn1","Desert","Alexander Bay Coastal Duneveld","CR_NP","CR","A3_nat, B1i_rod, B2i_rod","NP"
"275","Dn3","Desert","Western Gariep Plains Desert","LC_PP","LC","","PP"
"276","Dg1","Desert","Noms Mountain Desert","LC_WP","LC","","WP"
"277","Dg10","Desert","Eastern Gariep Rocky Desert","LC_NP","LC","","NP"
"278","Dg2","Desert","Richtersberg Mountain Desert","LC_WP","LC","","WP"
"279","Dg3","Desert","Richtersveld Sheet Wash Desert","LC_WP","LC","","WP"
"280","Dg4","Desert","Kwaggarug Mountain Desert","LC_WP","LC","","WP"
"281","Dg5","Desert","Kahams Mountain Desert","LC_WP","LC","","WP"
"282","Dg6","Desert","Helskloof Canyon Desert","LC_WP","LC","","WP"
"283","Dg7","Desert","Northern Nababiepsberge Mountain Desert","LC_NP","LC","","NP"
"284","Dg8","Desert","Southern Nababiepsberge Mountain Desert","LC_NP","LC","","NP"
"285","Dg9","Desert","Eastern Gariep Plains Desert","LC_PP","LC","","PP"
"286","Dn4","Desert","Western Gariep Lowland Desert","CR_NP","CR","B1iii_sp","NP"
"287","Dn5","Desert","Western Gariep Hills Desert","LC_PP","LC","","PP"
