"","T_MAPCODE","YEAR","km2","prop_nat","A3"
"226","AT52",2018,30.2872,0.694711538461538,"LC"
"227","AT52",2020,30.246,0.693766514973576,"LC"
"228","AT52",2022,30.2416,0.693665590135056,"LC"
"229","AT53",1750,27.1028,1,"LC"
"230","AT53",1990,19.4924,0.719202444027923,"LC"
"231","AT53",2014,17.572,0.648346296323627,"LC"
"232","AT53",2018,16.8096,0.620216361409153,"LC"
"233","AT53",2020,16.684,0.615582153873401,"LC"
"234","AT53",2022,16.5496,0.610623256637691,"LC"
"235","AT54",1750,187.7204,1,"LC"
"236","AT54",1990,185.6204,0.988813149769551,"LC"
"237","AT54",2014,185.0972,0.986026025940708,"LC"
"238","AT54",2018,184.9368,0.985171563665963,"LC"
"239","AT54",2020,184.9032,0.984992574062275,"LC"
"240","AT54",2022,184.8992,0.984971265776122,"LC"
"241","AT55",1750,760.3872,1,"LC"
"242","AT55",1990,749.5344,0.985727271579532,"LC"
"243","AT55",2014,746.7232,0.982030207767832,"LC"
"244","AT55",2018,742.8236,0.976901767941386,"LC"
"245","AT55",2020,742.1788,0.976053778916847,"LC"
"246","AT55",2022,741.5976,0.975289431489641,"LC"
"247","AT56",1750,701.6176,1,"LC"
"248","AT56",1990,499.2812,0.711614417882334,"LC"
"249","AT56",2014,480.4896,0.684831167291128,"LC"
"250","AT56",2018,470.056,0.669960388678961,"LC"
"251","AT56",2020,468.1268,0.667210742717971,"LC"
"252","AT56",2022,465.9492,0.664107057747696,"LC"
"253","AT57",1750,137.0648,1,"LC"
"254","AT57",1990,112.0368,0.817400236968208,"LC"
"255","AT57",2014,108.8788,0.794360039922723,"LC"
"256","AT57",2018,106.1196,0.774229415575699,"LC"
"257","AT57",2020,105.7808,0.771757592029463,"LC"
"258","AT57",2022,105.5096,0.769778965861403,"LC"
"259","AT58",1750,2252.3448,1,"LC"
"260","AT58",1990,2231.5716,0.990777078180925,"LC"
"261","AT58",2014,2228.192,0.989276597437479,"LC"
"262","AT58",2018,2223.332,0.987118846102071,"LC"
"263","AT58",2020,2222.5008,0.98674980846627,"LC"
"264","AT58",2022,2221.2952,0.986214544060927,"LC"
"265","AZa1",1750,18.7044,1,"LC"
"266","AZa1",1990,18.3164,0.979256217788328,"LC"
"267","AZa1",2014,18.306,0.978700198883685,"LC"
"268","AZa1",2018,18.2216,0.974187891619084,"LC"
"269","AZa1",2020,18.1956,0.972797844357477,"LC"
"270","AZa1",2022,18.1868,0.97232736682278,"LC"
"271","AZa2",1750,350.796,1,"LC"
"272","AZa2",1990,156.8812,0.447214905529139,"VU"
"273","AZa2",2014,130.0756,0.370801263412354,"VU"
"274","AZa2",2018,117.42,0.334724455238942,"VU"
"275","AZa2",2020,116.5116,0.332134916019567,"VU"
"276","AZa2",2022,116.1724,0.331167972268783,"VU"
"277","AZa3",1750,867.5872,1,"LC"
"278","AZa3",1990,593.3988,0.683964447608263,"LC"
"279","AZa3",2014,564.7208,0.650909556987471,"LC"
"280","AZa3",2018,546.6908,0.62779111647415,"LC"
"281","AZa3",2020,543.8828,0.624566556164996,"LC"
"282","AZa3",2022,530.9836,0.609753789662207,"LC"
"283","AZa4",1750,1787.3464,1,"LC"
"284","AZa4",1990,1364.7744,0.763575767965292,"LC"
"285","AZa4",2014,1289.2596,0.72132609548994,"LC"
"286","AZa4",2018,1260.6492,0.705318901808849,"LC"
"287","AZa4",2020,1253.78,0.701475662468115,"LC"
"288","AZa4",2022,1248.4128,0.69847277505916,"LC"
"289","AZa5",1750,3235.1676,1,"LC"
"290","AZa5",1990,2284.7876,0.706234693992361,"LC"
"291","AZa5",2014,2203.942,0.68124507676202,"LC"
"292","AZa5",2018,2150.5292,0.664735020219663,"LC"
"293","AZa5",2020,2132.8992,0.65928553438777,"LC"
"294","AZa5",2022,2106.648,0.651171209800692,"LC"
"295","AZa6",1750,653.4064,1,"LC"
"296","AZa6",1990,339.1896,0.519109699568293,"LC"
"297","AZa6",2014,301.0136,0.460683580693424,"VU"
"298","AZa6",2018,289.3776,0.442875368224125,"VU"
"299","AZa6",2020,287.1932,0.439532272717255,"VU"
"300","AZa6",2022,286.0296,0.437751451470325,"VU"
"301","AZa7",1750,1274.7652,1,"LC"
"302","AZa7",1990,955.916,0.749876134051981,"LC"
"303","AZa7",2014,889.9532,0.698131075432558,"LC"
"304","AZa7",2018,884.0252,0.687349918624444,"LC"
"305","AZa7",2020,875.1724,0.680466663079694,"LC"
"306","AZa7",2022,859.3644,0.668175579620065,"LC"
"307","AZd1",1750,6.4404,1,"LC"
"308","AZd1",1990,0.6076,0.0943419663374946,"CR"
"309","AZd1",2014,0.568,0.0881932799205018,"CR"
"310","AZd1",2018,0.3532,0.0548413142040867,"CR"
"311","AZd1",2020,0.3532,0.0548413142040867,"CR"
"312","AZd1",2022,0.3172,0.0492515992795479,"CR"
"313","AZd2",1750,13.216,1,"LC"
"314","AZd2",1990,10.9352,0.827421307506053,"LC"
"315","AZd2",2014,10.844,0.820520581113801,"LC"
"316","AZd2",2018,9.6756,0.732112590799031,"LC"
"317","AZd2",2020,9.6724,0.731870460048426,"LC"
"318","AZd2",2022,9.5168,0.720096852300242,"LC"
"319","AZd3",1750,220.1216,1,"LC"
"320","AZd3",1990,216.7732,0.984788407861836,"LC"
"321","AZd3",2014,216.07,0.981593809966855,"LC"
"322","AZd3",2018,215.3868,0.977816638610598,"LC"
"323","AZd3",2020,215.3684,0.977733105979302,"LC"
"324","AZd3",2022,215.2172,0.977046685661261,"LC"
"325","AZd4",1750,28.0788,1,"LC"
"326","AZd4",1990,26.8056,0.954656181888115,"LC"
"327","AZd4",2014,26.68,0.950183056255965,"LC"
"328","AZd4",2018,26.32,0.937255181254896,"LC"
