"","type","zone","get","extent","RLE","EPL","RLE_EPL","realm"
"222","AT42","Albany Thicket","T1.2",51.7304,"LC","NP","LC_NP","ter"
"223","AT47","Albany Thicket","T1.2",886.1536,"LC","PP","LC_PP","ter"
"224","AT52","Albany Thicket","T1.2",30.2416,"LC","PP","LC_PP","ter"
"225","AT17","Albany Thicket","T1.2",576.74,"LC","MP","LC_MP","ter"
"226","AT20","Albany Thicket","T1.2",20.0016,"LC","NP","LC_NP","ter"
"227","AT39","Albany Thicket","T1.2",216.984,"LC","PP","LC_PP","ter"
"228","AT44","Albany Thicket","T1.2",63.2552,"CR","NP","CR_NP","ter"
"229","AT48","Albany Thicket","T1.2",11.6912,"CR","NP","CR_NP","ter"
"230","AT53","Albany Thicket","T1.2",16.5496,"CR","WP","CR_WP","ter"
"231","AZa7","Azonal Vegetation","T3.1",859.3644,"LC","WP","LC_WP","ter"
"232","AZd4","Azonal Vegetation","MT2.1",26.27,"LC","WP","LC_WP","ter"
"233","AZs3","Azonal Vegetation","MT2.1",11.972,"LC","WP","LC_WP","ter"
"234","AZa4","Azonal Vegetation","T5.1",1248.4128,"LC","PP","LC_PP","ter"
"235","FOz5","Forests","T1.2",946.1864,"LC","WP","LC_WP","ter"
"236","SVs6","Savanna","T4.2",7037.5756,"LC","NP","LC_NP","ter"
"237","FOz7","Forests","T1.2",514.9484,"LC","WP","LC_WP","ter"
"238","FOz2","Forests","T2.4",182.4208,"LC","WP","LC_WP","ter"
"239","FOz3","Forests","T2.4",884.3512,"LC","MP","LC_MP","ter"
"240","FFs29","Fynbos","T3.2",131.6812,"CR","PP","CR_PP","ter"
"241","Gd1","Grassland","T4.5",4202.9276,"LC","PP","LC_PP","ter"
"242","Gd2","Grassland","T4.5",153.586,"LC","NP","LC_NP","ter"
"243","Gd3","Grassland","T4.5",2409.262,"LC","NP","LC_NP","ter"
"244","Gd4","Grassland","T4.5",5993.8588,"LC","PP","LC_PP","ter"
"245","Gd8","Grassland","T4.5",17291.3664,"LC","PP","LC_PP","ter"
"246","Gh2","Grassland","T4.5",5660.4316,"LC","NP","LC_NP","ter"
"247","Gh3","Grassland","T4.5",12357.1816,"LC","PP","LC_PP","ter"
"248","Gm1","Grassland","T4.5",2813.2064,"LC","NP","LC_NP","ter"
"249","Gm5","Grassland","T4.5",2462.3852,"LC","PP","LC_PP","ter"
"250","Gs10","Grassland","T4.5",7576.2196,"LC","PP","LC_PP","ter"
"251","Gs11","Grassland","T4.5",1020.7256,"EN","PP","EN_PP","ter"
"252","Gs12","Grassland","T4.5",4698.084,"EN","PP","EN_PP","ter"
"253","Gs13","Grassland","T4.5",148.2664,"CR","PP","CR_PP","ter"
"254","Gs14","Grassland","T4.5",2135.8588,"EN","NP","EN_NP","ter"
"255","Gs15","Grassland","T4.5",3708.014,"LC","NP","LC_NP","ter"
"256","Gs16","Grassland","T4.2",2980.22,"LC","NP","LC_NP","ter"
"257","Gs18","Grassland","T4.5",1407.3916,"LC","NP","LC_NP","ter"
"258","Gs19","Grassland","T4.5",1334.6488,"VU","NP","VU_NP","ter"
"259","Gs20","Grassland","T4.5",2257.522,"VU","NP","VU_NP","ter"
"260","Gs6","Grassland","T4.5",3303.6124,"LC","PP","LC_PP","ter"
"261","Gs9","Grassland","T4.5",2020.0288,"EN","PP","EN_PP","ter"
"262","CB6","Indian Ocean Coastal Belt","T4.2",411.5112,"EN","NP","EN_NP","ter"
"263","CB3","Indian Ocean Coastal Belt","T4.2",672.314,"EN","NP","EN_NP","ter"
"264","CB4","Indian Ocean Coastal Belt","T4.2",641.0904,"VU","PP","VU_PP","ter"
"265","CB5","Indian Ocean Coastal Belt","T4.2",899.2332,"EN","PP","EN_PP","ter"
"266","NKl4","Nama-Karoo","T5.1",683.2128,"LC","MP","LC_MP","ter"
