"","T_MAPCODE","1750","1990","2014","2018","2020","2022","pnat_1990","pnat_2014","pnat_2018","pnat_2020","pnat_2022","ARD9022","ARD9014","ARD1422","ARD1822","ROD9022","ROD9014","ROD1422","ROD1822","nat_2040_ard9022","nat_2040_ard9014","nat_2040_ard1422","nat_2040_ard1822","pred2040lm","pred2040poly","pred2040spline","prclost50_9022","prclost50_9014","prclost50_1422","prclost50_1822","prclost50_lm","prclost50_poly","prclost50_spline","A2b_9022","A2b_9014","A2b_1422","A2b_1822","A2b_lm","A2b_poly","A2b_spline"
"170","FFs9",219.4464,206.5656,204.9768,203.54,203.404,203.276,0.941303206614462,0.934063169867448,0.927515785175788,0.926896043863103,0.926312757921752,0.102799999999999,0.0661999999999997,0.212599999999998,0.0659999999999954,0.0497662727966318,0.0320479305363525,0.10371905503452,0.0321987659091153,201.4256,203.2556,195.9356,203.2656,201.545592523364,197.311795317169,201.892304458599,2,2,5,2,2,4,2,"LC","LC","LC","LC","LC","LC","LC"
"171","FFt1",404.9544,397.7252,396.6444,395.8584,395.7816,395.7416,0.982148113466603,0.979479170988141,0.977538211709763,0.977348560726837,0.97724978417323,0.061987499999999,0.0450333333333314,0.112850000000002,0.029200000000003,0.0155855097941994,0.0113227256742423,0.0284511769232092,0.00736175778606808,394.625825,395.473533333333,392.0827,396.2652,394.632471028037,392.697801515306,395.332526114649,1,1,1,0,1,1,1,"LC","LC","LC","LC","LC","LC","LC"
"172","FFt2",211.1624,184.3552,183.2752,182.4516,181.6072,181.5708,0.873049368637598,0.867934821729626,0.864034506143139,0.860035688171758,0.859863308998193,0.0870125000000002,0.0449999999999993,0.213050000000003,0.220200000000006,0.0471982889552343,0.0244094009824509,0.116245951443514,0.120147188490317,180.004575,182.1052,173.7027,173.3452,180.403996261682,174.611011421223,183.306624840764,2,1,6,6,2,5,1,"LC","LC","LC","LC","LC","LC","LC"
"173","FRa1",497.676,236.7732,197.936,178.5072,175.2748,174.4068,0.475757721891351,0.397720605373777,0.358681551853013,0.3521865631455,0.350442456537989,1.94895,1.61821666666667,2.94115,1.0251,0.82312947580216,0.683445874223378,1.48590958693719,0.517894673025625,139.3257,155.862366666667,89.7157,185.5182,138.316743925233,100.483146614615,169.365161464968,41,34,62,22,42,58,28,"VU","VU","EN","LC","VU","EN","LC"
"174","FRa2",63.072,40.868,39.2772,36.7452,36.5952,36.5332,0.647957889396246,0.622735920852359,0.582591324200913,0.580213089802131,0.579230086250634,0.1354625,0.0662833333333334,0.343,0.052999999999999,0.331463492218851,0.162188835600796,0.87328017272107,0.134938335726577,34.094875,37.5538333333333,23.718,38.218,34.2704392523364,26.2647644430465,35.7017194267516,17,8,42,6,16,36,13,"LC","LC","VU","LC","LC","VU","LC"
"175","FRc1",101.0616,20.6876,16.0828,13.0508,12.8756,12.802,0.204702874286574,0.159138584783934,0.12913708075075,0.127403484607408,0.126675215907921,0.246425,0.191866666666667,0.4101,0.0622000000000003,1.19117248980065,0.927447682025304,2.54992911682045,0.386748576118588,8.36635,11.0942666666667,0.182600000000004,17.5776,8.18731214953254,2.19381396708511,11.8079108280255,60,46,99,15,60,89,43,"EN","VU","CR","LC","EN","CR","VU"
"176","FRc2",209.756,42.454,32.1036,28.7568,28.5356,28.494,0.202397070882359,0.153052117698659,0.137096435858807,0.13604187722878,0.13584355155514,0.43625,0.431266666666667,0.4512,0.0656999999999996,1.0275827954963,1.01584460043027,1.40544985609091,0.20464994580047,20.6415,20.8906666666667,19.894,39.169,19.6647420560745,20.0267523650055,27.9357458598726,51,51,53,8,54,53,34,"EN","EN","EN","LC","EN","EN","VU"
"177","FRd1",219.4944,202.4236,198.6048,197.4632,197.3924,197.2376,0.922226717401446,0.90482855143457,0.899627507581059,0.899304948098904,0.898599690926055,0.1620625,0.159116666666666,0.170900000000003,0.0564000000000036,0.080061069954294,0.0786057883896275,0.0860502868007234,0.0283981051817497,194.320475,194.467766666667,193.8786,199.6036,194.083871028037,194.080336579183,195.439097133758,4,4,4,1,4,4,3,"LC","LC","LC","LC","LC","LC","LC"
"178","FRd2",578.926,566.6,565.9832,565.3716,565.3448,565.3256,0.978708850526665,0.977643429384757,0.976586990392554,0.976540697774845,0.976507532914397,0.0398250000000004,0.0257000000000005,0.0822000000000003,0.0114999999999839,0.00702876809036365,0.00453582774444061,0.0145233992811095,0.00203186242983605,564.60875,565.315,562.49,566.025000000001,564.617269158878,563.020883676698,565.051415286625,0,0,1,0,0,1,0,"LC","LC","LC","LC","LC","LC","LC"
"179","FRg1",305.5396,262.0808,255.3204,253.2452,252.86,252.788,0.857763772682821,0.835637671843519,0.828845753545531,0.82758503316755,0.827349384498769,0.2904,0.281683333333334,0.316549999999999,0.1143,0.110805522571665,0.10747957627317,0.123981475824102,0.0447672806403249,247.5608,247.996633333333,246.2533,256.3658,247.078975700934,246.374976534039,252.600735987261,6,5,6,2,6,6,4,"LC","LC","LC","LC","LC","LC","LC"
"180","FRg2",951.3408,232.6704,194.9908,157.524,154.9304,153.8836,0.244571030696886,0.204964193693785,0.165581040989727,0.162854783480326,0.161754441731081,2.4620875,1.56998333333333,5.1384,0.9101,1.05818681705967,0.674767109754113,2.63520125052054,0.466739969270345,109.566025,154.171233333333,0,187.1654,110.460500934579,8.38258621053301,141.174446815287,53,34,100,20,53,96,39,"EN","VU","CR","LC","EN","CR","VU"
"181","FRg3",19.1756,18.9984,18.8536,18.8348,18.8336,18.8332,0.990759089676464,0.983207826612987,0.982227414005298,0.982164834477148,0.982143974634431,0.00516249999999996,0.00603333333333333,0.00254999999999983,0.000399999999999956,0.0271733409129188,0.0317570602436697,0.013525268383756,0.0021216107268636,18.740275,18.6967333333333,18.8709,18.9784,18.7225308411215,18.8387038012156,18.8282662420382,1,2,1,0,1,1,1,"LC","LC","LC","LC","LC","LC","LC"
"182","FRl1",501.6888,446.2368,439.4828,433.6192,433.0896,432.6812,0.889469328396408,0.876006799434231,0.864319075889276,0.863263441400326,0.862449390937171,0.423612500000001,0.281416666666667,0.850200000000001,0.234499999999997,0.0949299788811682,0.0630644237917329,0.193454669898344,0.0533581746543885,425.056175,432.165966666667,403.7268,434.5118,425.380586915888,409.013298359806,428.258618152866,5,3,10,3,5,8,4,"LC","LC","LC","LC","LC","LC","LC"
"183","FRs1",207.306,200.3152,196.9488,196.2448,196.1052,196.0464,0.966277869429732,0.950039072675176,0.94664312658582,0.945969725912419,0.945686087233365,0.1334,0.140266666666667,0.1128,0.0495999999999981,0.0665950462071775,0.07002297712139,0.0572737686139748,0.025184210312527,193.6452,193.301866666667,194.6752,197.8352,193.367028037383,194.373476100169,195.619826751592,3,4,3,1,3,3,2,"LC","LC","LC","LC","LC","LC","LC"
"184","FRs10",25.2736,4.1324,3.7092,2.6216,2.5512,2.5132,0.163506583945303,0.146761838440111,0.103728792099266,0.100943276778931,0.0994397315776146,0.0506,0.0176333333333333,0.1495,0.0271,1.2244700416223,0.426709256928984,4.03051871023401,0.730615766202955,1.6024,3.25073333333333,0,2.7774,1.72942242990653,0,2.04281146496815,61,21,100,33,58,100,51,"EN","LC","CR","VU","EN","CR","EN"
"185","FRs11",1193.6704,234.0652,185.01,155.7532,153.548,153.0492,0.196088635522838,0.154992533952421,0.130482585477532,0.128635174332881,0.128217303537057,2.53175,2.04396666666667,3.9951,0.675999999999995,1.08164306355665,0.873246713593762,2.15939678936274,0.365385654829466,107.4777,131.866866666667,34.3102000000002,200.2652,105.140927102802,51.7113876906852,147.283362420382,54,44,85,14,55,78,37,"EN","VU","CR","LC","EN","EN","VU"
"186","FRs12",2027.506,311.8648,240.3904,199.5524,196.234,195.7052,0.153816955412216,0.1185645813132,0.09842259406384,0.0967859034695828,0.0965250904312983,3.6299875,2.9781,5.58565,0.961800000000004,1.16396191554802,0.954933035084434,2.32357448550358,0.400099172013526,130.365425,162.9598,32.5823,263.7748,126.630048598129,55.4805321257758,190.225885350318,58,48,90,15,59,82,39,"EN","VU","CR","LC","EN","CR","VU"
"187","FRs13",2762.57,605.7076,455.82,401.7824,398.3344,397.7656,0.219255113897566,0.1649985339738,0.145437907455739,0.144189794285756,0.143983899050522,6.4981875,6.24531666666666,7.2568,1.0042,1.07282581562457,1.03107781158213,1.59203194243342,0.220306261243473,280.798225,293.441766666667,242.8676,555.4976,267.327553271027,251.383669937186,389.538678025478,54,52,60,8,56,58,36,"EN","EN","EN","LC","EN","EN","VU"
