"","T_MAPCODE","A3_fin","A3_prplost","A2b_fin","A2b_prplost50","B1_fin","B2_fin","RoD","D3_fin","D3_prpdeg","prp_invmax","RLE","Criteria_triggered","Criteria_used"
"220","FS7","LC",0.18888423500047,"LC",0.0754495243316783,"EN","EN",0.2,"LC",0,0.401581019234667,"EN","B1i_invmax, B1iii_sp, B2i_invmax, B2iii_sp","A3_nat, A3_wc, A2b, B1i_invmax, B1iii_sp, B2i_invmax, B2iii_sp, "
"221","FS9","VU",0.558399428367274,"LC",0.262092973147674,"CR","CR",0.5,"VU",0,0.616031843629656,"CR","B1i_rod, B1i_invmax, B2i_rod, B2i_invmax","A3_nat, A2b, B1i_rod, B1i_invmax, B2i_rod, B2i_invmax, D3_inv"
"222","Gd1","LC",0.163920413878261,"LC",0.0690942486405317,"LC","LC",0.1,"LC",0,0.0609774957817498,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"223","Gd10","LC",0.027378948900447,"LC",0.00138846915782258,"LC","LC",0,"LC",0,0.00000101696737423382,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"224","Gd2","LC",0.029923523719774,"LC",0.0251956718376046,"LC","LC",0.1,"LC",0,0.0163478442045499,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"225","Gd3","LC",0.187756297558625,"LC",0.0441938482268133,"LC","LC",0.1,"LC",0,0.00242132238004833,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"226","Gd4","LC",0.0982645772710981,"LC",0.0413892958904727,"LC","LC",0.1,"LC",0,0.019195447180037,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"227","Gd5","LC",0.0981228616541771,"LC",0.0175933077061822,"LC","LC",0,"LC",0,0.0118502690815674,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"228","Gd6","LC",0.00321965842014704,"LC",0.000261006347674468,"LC","LC",0,"LC",0,0.0194731663851195,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
"229","Gd7","LC",0.00076053508884999,"LC",0.000544975176612713,"LC","LC",0,"LC",0,0.0013305377280407,"LC","","A3_nat, A2b, B1i_rod, B1i_invmax, B1iii_sp, B2i_rod, B2i_invmax, B2iii_sp, "
