"","BIOME","T_Name","T_MAPCODE","nat_1750","nat_1990","nat_2014","nat_2018","nat_2020","nat_2022","pnat_1990","pnat_2014","pnat_2018","pnat_2020","pnat_2022","ARD","nat_2040","prplost9040","ROD","A2b","A3"
"43","Albany Thicket","St Francis Dune Thicket","AT57",137.0648,112.0368,108.8788,106.1196,105.7808,105.5096,0.817400236968208,0.794360039922723,0.774229415575699,0.771757592029463,0.769778965861403,0.203975,101.83805,0.09103035788241,0.18206071576482,"LC","LC"
"44","Albany Thicket","Willowmore Gwarrieveld","AT58",2252.3448,2231.5716,2228.192,2223.332,2222.5008,2221.2952,0.990777078180925,0.989276597437479,0.987118846102071,0.98674980846627,0.986214544060927,0.321137500000006,2215.514725,0.00719532144969053,0.0143906428993811,"LC","LC"
"45","Azonal","Fynbos Riparian Vegetation","AZa1",18.7044,18.3164,18.306,18.2216,18.1956,18.1868,0.979256217788328,0.978700198883685,0.974187891619084,0.972797844357477,0.97232736682278,0.00405,18.1139,0.01105566596056,0.0221113319211199,"LC","LC"
"46","Azonal","Cape Lowland Alluvial Vegetation","AZa2",350.796,156.8812,130.0756,117.42,116.5116,116.1724,0.447214905529139,0.370801263412354,0.334724455238942,0.332134916019567,0.331167972268783,1.27215,93.2737,0.405450111294406,0.810900222588813,"VU","VU"
"47","Azonal","Lower Gariep Alluvial Vegetation","AZa3",867.5872,593.3988,564.7208,546.6908,543.8828,530.9836,0.683964447608263,0.650909556987471,0.630127784273442,0.626891222000509,0.612023321690315,1.950475,495.87505,0.164347737137318,0.328695474274636,"LC","LC"
"48","Azonal","Upper Gariep Alluvial Vegetation","AZa4",1787.3464,1364.7744,1289.2596,1260.6492,1253.78,1248.4128,0.763575767965292,0.72132609548994,0.705318901808849,0.701475662468115,0.69847277505916,3.6363,1182.9594,0.133219820066965,0.26643964013393,"LC","LC"
"49","Azonal","Highveld Alluvial Vegetation","AZa5",3235.1676,2284.7876,2203.942,2150.5292,2132.8992,2106.648,0.706234693992361,0.68124507676202,0.664735020219663,0.65928553438777,0.651171209800692,5.5668625,2006.444475,0.121824507888611,0.243649015777221,"LC","LC"
"50","Azonal","Albany Alluvial Vegetation","AZa6",653.4064,339.1896,301.0136,289.3776,287.1932,286.0296,0.519109699568293,0.460683580693424,0.442875368224125,0.439532272717255,0.437751451470325,1.66125,256.1271,0.24488516157335,0.4897703231467,"LC","VU"
"51","Azonal","Subtropical Alluvial Vegetation","AZa7",1274.7652,955.916,889.9532,884.0252,875.1724,859.3644,0.749876134051981,0.698131075432558,0.69348080728906,0.686536155834816,0.674135440785487,3.0172375,805.054125,0.157819175534252,0.315638351068504,"LC","LC"
"52","Azonal","Namib Seashore Vegetation","AZd1",6.4404,0.6076,0.568,0.3532,0.3532,0.3172,0.0943419663374946,0.0881932799205018,0.0548413142040867,0.0548413142040867,0.0492515992795479,0.009075,0.15385,0.746790651744569,1.49358130348914,"EN","CR"
"53","Azonal","Namaqualand Seashore Vegetation","AZd2",13.216,10.9352,10.844,9.6756,9.6724,9.5168,0.827421307506053,0.820520581113801,0.732112590799031,0.731870460048426,0.720096852300242,0.044325,8.71895,0.202671190284586,0.405342380569171,"LC","LC"
