"","T_MAPCODE","T_BIOME","T_Name","get","extent","RLE_EPL","RLE","Criteria_triggered","EPL"
"423","SVl14","Savanna","Swaziland Sour Bushveld","T4.2",3420.6212,"LC_WP","LC","","WP"
"424","SVl15","Savanna","Northern Lebombo Bushveld","T4.1",1334.5932,"LC_WP","LC","","WP"
"425","SVl16","Savanna","Southern Lebombo Bushveld","T4.2",2251.9056,"LC_MP","LC","","MP"
"426","SVl17","Savanna","Lebombo Summit Sourveld","T4.2",42.6524,"EN_NP","EN","B1i_rod, B2i_rod","NP"
"427","SVl18","Savanna","Tembe Sandy Bushveld","T4.2",865.0132,"LC_MP","LC","","MP"
"428","SVl19","Savanna","Western Maputaland Sandy Bushveld","T4.2",80.776,"CR_MP","CR","B1i_rod","MP"
"429","SVl2","Savanna","Nwambyia-Pumbe Sandy Bushveld","T4.1",181.6164,"LC_WP","LC","","WP"
"430","SVl20","Savanna","Western Maputaland Clay Bushveld","T4.2",648.648,"EN_MP","EN","B1i_rod","MP"
"431","SVl21","Savanna","Makatini Clay Thicket","T4.1",268.5708,"LC_WP","LC","","WP"
"432","SVl22","Savanna","Northern Zululand Sourveld","T4.2",3681.678,"LC_MP","LC","","MP"
"433","SVl23","Savanna","Zululand Lowveld","T4.2",5704.3004,"LC_WP","LC","","WP"
"434","SVl24","Savanna","Zululand Coastal Thornveld","T4.2",182.28,"CR_NP","CR","B1i_rod","NP"
"435","SVl25","Savanna","Maputaland Pallid Sandy Bushveld","T4.2",472.9328,"LC_MP","LC","","MP"
"436","SVl26","Savanna","Muzi Palm Veld and Wooded Grassland","T4.2",510.344,"CR_PP","CR","B1i_rod","PP"
"437","SVl27","Savanna","Crocodile Gorge Mountain Bushveld","T4.2",426.688,"LC_MP","LC","","MP"
"438","SVl3","Savanna","Granite Lowveld","T4.2",14882.14,"LC_WP","LC","","WP"
"439","SVl4","Savanna","Delagoa Lowveld","T4.2",1968.0536,"LC_WP","LC","","WP"
"440","SVl5","Savanna","Tshokwane-Hlane Basalt Lowveld","T4.1",2975.3692,"LC_WP","LC","","WP"
"441","SVl6","Savanna","Gabbro Grassy Bushveld","T4.2",757.7016,"LC_WP","LC","","WP"
"442","SVl7","Savanna","Gravelotte Rocky Bushveld","T4.2",286.2132,"LC_MP","LC","","MP"
"443","SVl8","Savanna","Tzaneen Sour Bushveld","T4.2",1748.3556,"EN_PP","EN","B1i_rod","PP"
"444","SVl9","Savanna","Legogote Sour Bushveld","T4.2",1115.6136,"EN_PP","EN","B1i_rod","PP"
"445","SVmp1","Savanna","Musina Mopane Bushveld","T4.1",8133.022,"LC_MP","LC","","MP"
"446","SVmp2","Savanna","Limpopo Ridge Bushveld","T4.2",2718.2392,"LC_WP","LC","","WP"
"447","SVmp3","Savanna","Cathedral Mopane Bushveld","T4.1",276.878,"LC_WP","LC","","WP"
"448","SVmp4","Savanna","Mopane Basalt Shrubland","T4.1",2800.2144,"LC_WP","LC","","WP"
"449","SVmp5","Savanna","Tsende Mopaneveld","T4.1",4722.0828,"LC_WP","LC","","WP"
"450","SVmp6","Savanna","Lowveld Rugged Mopaneveld","T4.1",2431.4684,"LC_WP","LC","","WP"
"451","SVmp7","Savanna","Phalaborwa-Timbavati Mopaneveld","T4.1",2027.626,"LC_WP","LC","","WP"
"452","SVmp8","Savanna","Mopane Gabbro Shrubland","T4.1",310.2836,"LC_WP","LC","","WP"
"453","SVs1","Savanna","Thukela Valley Bushveld","T4.2",1972.284,"LC_NP","LC","","NP"
