"","T_MAPCODE","A3_fin","A3_prclost","A2b_fin","A2b_prclost50","B1_fin","B2_fin","RoD","D3_fin","D3_prcdeg","prpinv_max","RLE","Criteria_triggered","Criteria_used","X1750","X2022","pnat_2022","ROD9022","prclost50_9022","expert_change"
"55","AZd4","LC",6,"LC",3,"LC","LC",0.1,"LC",0,0.000319756376094404,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",28.0788,26.27,0.935581292647834,0.0624403109797951,3,"RLE not adjusted"
"56","AZi1","LC",12,"LC",4,"LC","LC",0.1,"LC",0,0.0429351012342354,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1363.9048,1200.1276,0.879920358077778,0.0717001408439236,4,"RLE not adjusted"
"57","AZi3","LC",0,"LC",0,"LC","LC",0,"LC",0,0.00123032477941796,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1919.2856,1914.6164,0.997567219803035,0.00304268382532496,0,"RLE not adjusted"
"58","AZi5","LC",7,"LC",2,"LC","LC",0,"LC",0,0.011713134131909,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",5176.9952,4815.0392,0.930083767510544,0.0369840609343403,2,"RLE not adjusted"
"59","AZi6","LC",14,"LC",5,"LC","LC",0.1,"LC",0,0.00650605312909208,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",5302.936,4534.9768,0.85518226129827,0.0961927392075114,5,"RLE not adjusted"
"60","AZi7","LC",7,"LC",1,"LC","LC",0,"LC",0,0.00566589146645927,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",2130.1056,1983.6596,0.931249417869236,0.0275594595777603,1,"RLE not adjusted"
"61","AZi8","VU",61,"VU",33,"EN","VU",0.7,"LC",0,0.0654699137770334,"EN","B1i_rod","A3_nat, A3_wc, A2b, B1i_rod, B2i_rod, D3_inv",407.1792,143.7668,0.353079921567703,0.655602861671932,33,"RLE not adjusted"
"62","AZs3","LC",20,"LC",1,"LC","LC",0,"LC",0,0.163180755095222,"LC","","A3_nat, A3_kzn, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",12.9664,11.972,0.923309476801579,0.0266049955278763,1,"RLE not adjusted"
"63","CB1","VU",64,"VU",32,"EN","LC",0.6,"LC",0,0.0350187616810082,"EN","B1i_rod","A3_nat, A3_kzn, A2b, B1i_rod, B2i_rod, B2i_inv, B2iii_sp, D3_inv",2355.4844,832.548,0.353450865562939,0.645500068046064,32,"RLE not adjusted"
"64","CB2","VU",65,"VU",31,"EN","VU",0.6,"LC",0,0.0271655816857482,"EN","B1i_rod","A3_nat, A3_kzn, A2b, B1i_rod, B2i_rod, D3_inv",1122.1012,401.0516,0.357411256667402,0.624935667470441,31,"RLE not adjusted"
"65","CB3","EN",82,"EN",63,"EN","LC",1.3,"LC",0,0.294099483277159,"EN","A3_nat, A3_kzn, A2b, B1i_rod","A3_nat, A3_kzn, A2b, B1i_rod, B2i_rod, B2i_inv, B2iii_sp, D3_inv",4141.8068,672.314,0.162323843787209,1.25774061909311,63,"RLE not adjusted"
"66","CB4","VU",51,"LC",15,"LC","LC",0.3,"LC",0,0.0607614776324837,"VU","A3_nat","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1299.9024,641.0904,0.493183488237271,0.295742388543145,15,"RLE not adjusted"
"67","CB5","LC",46,"LC",18,"EN","VU",0.4,"LC",0,0.0817865710474213,"EN","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, D3_inv",1650.386,899.2332,0.54486235341308,0.361686878425005,18,"RLE not adjusted"
"68","CB6","VU",60,"LC",23,"EN","VU",0.5,"LC",0,0.358185147816147,"EN","B1i_rod, B1i_inv","A3_nat, A3_kzn, A2b, B1i_rod, B1i_inv, B2i_rod, B2i_inv, D3_inv",1121.1792,411.5112,0.36703427962274,0.464073621916901,23,"RLE not adjusted"
"69","Dg1","LC",1,"LC",1,"LC","LC",0,"LC",0,0,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",335.9332,332.8976,0.990963679683937,0.0255813281405482,1,"RLE not adjusted"
"70","Dg10","LC",0,"LC",1,"LC","LC",0,"LC",0,0.000161974429918136,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",2094.648,2084.2796,0.995050051369013,0.0111599160817341,1,"RLE not adjusted"
"71","Dg2","LC",0,"LC",0,"LC","LC",0,"LC",0,0,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",361.43,361.3932,0.999898182220624,0.00029743162946055,0,"RLE not adjusted"
"72","Dg3","LC",2,"LC",3,"LC","LC",0.1,"LC",0,0,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",160.0684,156.4688,0.977512113571448,0.0631052214991712,3,"RLE not adjusted"
"73","Dg4","LC",1,"LC",0,"LC","LC",0,"LC",0,NA,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, ",107.7996,107.1928,0.994371036627223,0.00950985863095211,0,"RLE not adjusted"
"74","Dg5","LC",0,"LC",0,"LC","LC",0,"LC",0,0,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",592.286,591.9344,0.999406367869577,0.00185510040757317,0,"RLE not adjusted"
"75","Dg6","LC",1,"LC",2,"LC","LC",0,"LC",0,NA,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, ",8.2236,8.1068,0.98579697456102,0.0443844544968139,2,"RLE not adjusted"
"76","Dg7","LC",1,"LC",1,"LC","LC",0,"LC",0,0,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",247.0048,244.0452,0.988018046612859,0.02489280696962,1,"RLE not adjusted"
"77","Dg8","LC",0,"LC",0,"LC","LC",0,"LC",0,0,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",343.1992,342.9244,0.999199298832864,0.00236025264610566,0,"RLE not adjusted"
"78","Dg9","LC",2,"LC",2,"LC","LC",0,"LC",0,8.67924578689381e-05,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1217.99,1198.2608,0.983801837453509,0.0329349377056108,2,"RLE not adjusted"
