"","T_MAPCODE","D3_fin","D3_source","D3_prcdeg","prpinv_max","D3_inv"
"259","Gm21","LC","D3_inv",0,0.0118499950866774,"LC"
"260","Gm22","LC","D3_inv",0,0.0426054997926643,"LC"
"261","Gm23","LC","D3_inv",0,0.0354583680579868,"LC"
"262","Gm24","LC","D3_inv",0,0.0156008914795131,"LC"
"263","Gm25","LC","D3_inv",0,0.201011319533036,"LC"
"264","Gm26","LC","D3_inv",0,0.0396827362757678,"LC"
"265","Gm27","LC","D3_inv",0,0.0153815519406917,"LC"
"266","Gm28","LC","D3_inv",0,0.0264843374546725,"LC"
"267","Gm29","LC","D3_inv",0,0.00289630895659674,"LC"
"268","Gm3","LC","D3_inv",0,0.0182845495915448,"LC"
"269","Gm30","LC","D3_inv",0,0.0411348880042314,"LC"
"270","Gm31","LC","D3_inv",0,0.0229169713011898,"LC"
"271","Gm4","LC","D3_inv",0,0.0122005909312135,"LC"
"272","Gm5","LC","D3_inv",0,0.0298669761335473,"LC"
"273","Gm6","LC","D3_inv",0,0.00107469775177885,"LC"
"274","Gm7","LC","D3_inv",0,0.000173789627655723,"LC"
"275","Gm8","LC","D3_inv",0,0.00880082436648264,"LC"
"276","Gm9","LC","D3_inv",0,0.00530374226327266,"LC"
"277","Gs1","LC","D3_inv",0,0.0373850769517199,"LC"
"278","Gs10","LC","D3_inv",0,0.0773228906934007,"LC"
"279","Gs11","LC","D3_inv",0,0.0824362590690387,"LC"
"280","Gs12","LC","D3_inv",0,0.0699559224568994,"LC"
"281","Gs13","LC","D3_inv",0,0.0094451608725915,"LC"
"282","Gs14","LC","D3_inv",0,0.03563138162504,"LC"
"283","Gs15","LC","D3_inv",0,0.0299812244506089,"LC"
"284","Gs16","LC","D3_inv",0,0.00596331814429807,"LC"
"285","Gs17","LC","D3_inv",0,0.0104063518959486,"LC"
"286","Gs18","LC","D3_step; D3_inv",0,0.00105471710929638,"LC"
"287","Gs19","LC","D3_inv",0,0.148237349031446,"LC"
"288","Gs2","LC","D3_inv",0,0.0132913557749343,"LC"
"289","Gs20","LC","D3_inv",0,0.155142142579341,"LC"
"290","Gs3","LC","D3_inv",0,0.0721490088313049,"LC"
"291","Gs4","LC","D3_inv",0,0.0366559900823252,"LC"
"292","Gs6","LC","D3_inv",0,0.0223087914308591,"LC"
"293","Gs7","LC","D3_inv",0,0.00541060643140988,"LC"
"294","Gs8","LC","D3_inv",0,0.0285563553771646,"LC"
"295","Gs9","LC","D3_inv",0,0.0795059951620492,"LC"
"296","NKb1","LC","D3_inv",0,0.00295059775739735,"LC"
"297","NKb2","LC","D3_inv",0,0,"LC"
"298","NKb3","LC","D3_inv",0,0.00474945310111421,"LC"
"299","NKb4","LC","D3_inv",0,0.00159636346096751,"LC"
"300","NKb5","LC","D3_inv",0,0.00159077058103039,"LC"
"301","NKb6","LC","D3_inv",0,0.00312856734545929,"LC"
"302","NKl1","LC","D3_inv",0,0.0000694405133010862,"LC"
"303","NKl2","LC","D3_inv",0,0.00104361789758885,"LC"
"304","NKl4","LC","D3_step; D3_inv",0,0.000604204136690648,"LC"
"305","NKu1","LC","D3_inv",0,0.000701702646895664,"LC"
"306","NKu2","LC","D3_inv",0,0.00129040956947098,"LC"
"307","NKu3","LC","D3_inv",0,0.00650962004537139,"LC"
"308","NKu4","LC","D3_inv",0,0.0011716436384864,"LC"
"309","SKk1","LC","D3_inv",0,0.00280817110117887,"LC"
"310","SKk2","LC","",0,NA,NA
"311","SKk3","LC","D3_inv",0,0.000184165805891704,"LC"
"312","SKk4","LC","D3_inv",0,0.00158346304225032,"LC"
"313","SKk5","LC","D3_inv",0,0.00680964542182077,"LC"
"314","SKk6","LC","D3_inv",0,0.00278440173937439,"LC"
"315","SKk7","LC","D3_inv",0,0.0226254993840802,"LC"
"316","SKk8","LC","D3_inv",0,0.000633312222925903,"LC"
"317","SKk9","LC","D3_inv",0,0.00035371269971218,"LC"
"318","SKn1","LC","D3_inv",0,0.0000491963720862727,"LC"
"319","SKn2","LC","D3_inv",0,0,"LC"
"320","SKn3","LC","D3_inv",0,0.0000765126820116332,"LC"
"321","SKn4","LC","D3_inv",0,0.0000380680798713718,"LC"
"322","SKn5","LC","D3_inv",0,0,"LC"
