"","T_MAPCODE","EOO","AOO","sp_tot","sp_fire","sp_inv","sp_overg","ext2022","sp_km2","prp_fire","prp_inv","prp_overg","B1iii_sp","B2iii_sp"
"127","FFq1",257.8622341,6,4,0,2,4,49.024,0.08,0,0.5,1,"LC","LC"
"128","FFq2",3419.42712,39,25,5,10,6,1617.4104,0.02,0.2,0.4,0.2,"LC","LC"
"129","FFq3",7718.464975,63,12,2,5,8,1249.804,0.01,0.2,0.4,0.7,"LC","LC"
"130","FFq4",1138.182575,12,22,10,18,15,91.3208,0.24,0.5,0.8,0.7,"LC","LC"
"131","FFq5",4626.252806,40,0,0,0,0,388.316,0,0,0,0,"LC","LC"
"132","FFq6",3901.340334,42,11,5,7,6,668.574,0.02,0.5,0.6,0.5,"LC","LC"
"133","FFs1",3631.899032,31,89,17,32,23,800.52,0.11,0.2,0.4,0.3,"LC","LC"
"134","FFs10",2437.235578,27,73,24,71,20,1008.654,0.07,0.3,1,0.3,"LC","LC"
"135","FFs11",1667.08404,24,143,48,132,21,763.5196,0.19,0.3,0.9,0.1,"CR","VU"
"136","FFs12",3385.397108,37,177,44,168,45,1049.864,0.17,0.2,0.9,0.3,"EN","VU"
"137","FFs13",1515.09612,19,43,10,38,12,520.876,0.08,0.2,0.9,0.3,"LC","LC"
"138","FFs14",1135.420239,15,52,13,52,8,333.1052,0.16,0.2,1,0.2,"CR","EN"
"139","FFs15",7923.451361,52,47,21,36,17,906.3568,0.05,0.4,0.8,0.4,"LC","LC"
"140","FFs16",5411.657559,53,60,26,51,10,1173.312,0.05,0.4,0.8,0.2,"LC","LC"
"141","FFs17",159.5605787,7,33,7,30,11,100.296,0.33,0.2,0.9,0.3,"CR","EN"
"142","FFs18",1785.451017,26,44,20,40,12,732.3164,0.06,0.5,0.9,0.3,"LC","LC"
"143","FFs19",4173.596256,43,57,31,56,9,1047.7296,0.05,0.5,1,0.2,"LC","LC"
"144","FFs2",5082.237246,53,65,19,32,23,937.778,0.07,0.3,0.5,0.4,"LC","LC"
"145","FFs20",3079.756733,46,39,20,33,11,1567.7116,0.02,0.5,0.8,0.3,"LC","LC"
"146","FFs21",1079.901515,18,7,3,5,3,318.0388,0.02,0.4,0.7,0.4,"LC","LC"
"147","FFs22",1177.078043,16,8,2,6,5,385.3768,0.02,0.2,0.8,0.6,"LC","LC"
"148","FFs23",4474.320015,43,17,13,11,3,846.108,0.02,0.8,0.6,0.2,"LC","LC"
"149","FFs24",4384.958593,49,15,11,10,3,1082.2572,0.01,0.7,0.7,0.2,"LC","LC"
"150","FFs25",709.679405,14,7,6,5,1,330.9052,0.02,0.9,0.7,0.1,"LC","LC"
"151","FFs26",592.6839483,12,14,11,11,2,287.084,0.05,0.8,0.8,0.1,"LC","LC"
"152","FFs27",8603.635103,69,36,13,28,13,2155.9756,0.02,0.4,0.8,0.4,"LC","LC"
"153","FFs28",10476.01296,102,42,17,34,17,3696.5036,0.01,0.4,0.8,0.4,"LC","LC"
"154","FFs29",445.7764344,8,37,20,32,13,131.6812,0.28,0.5,0.9,0.4,"CR","EN"
"155","FFs3",2787.288284,25,30,10,16,8,469.3428,0.06,0.3,0.5,0.3,"LC","LC"
"156","FFs30",4707.702167,9,4,2,3,0,37.4804,0.11,0.5,0.8,0,"LC","LC"
"157","FFs31",1118.08715,11,12,12,7,1,50.79,0.24,1,0.6,0.1,"LC","LC"
"158","FFs32",1307.54331,16,30,9,14,10,354.3128,0.08,0.3,0.5,0.3,"LC","LC"
"159","FFs4",4973.867617,53,70,23,34,18,2232.7588,0.03,0.3,0.5,0.3,"LC","LC"
"160","FFs5",2233.630916,30,42,12,30,10,1051.0576,0.04,0.3,0.7,0.2,"LC","LC"
"161","FFs6",856.7413311,13,57,24,39,24,370.706,0.15,0.4,0.7,0.4,"CR","EN"
"162","FFs7",1029.757367,13,8,2,6,2,371.0828,0.02,0.2,0.8,0.2,"LC","LC"
"163","FFs8",787.3268006,14,16,3,13,5,315.7336,0.05,0.2,0.8,0.3,"LC","LC"
"164","FFs9",488.4404375,12,98,29,86,31,203.276,0.48,0.3,0.9,0.3,"CR","EN"
"165","FFt1",1202.115011,22,6,1,2,3,395.7416,0.02,0.2,0.3,0.5,"LC","LC"
"166","FFt2",957.0193591,11,9,4,8,5,181.5708,0.05,0.4,0.9,0.6,"LC","LC"
"167","FOa1",78523.07413,34,7,3,4,3,133.4168,0.05,0.4,0.6,0.4,"LC","LC"
"168","FOa2",17901.17785,22,6,2,4,1,72.8692,0.08,0.3,0.7,0.2,"LC","LC"
"169","FOa3",38231.9017,4,3,1,2,0,20.558,0.15,0.3,0.7,0,"LC","LC"
